"variable","X1"
"BusinessTravelTravel_Rarely",0
"TotalWorkingYears",-0.0678467704325198
"X.Intercept.",-1.60861415516188
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.42330923624906
"BusinessTravelTravel_Rarely",0
"TrainingTimesLastYear",-0.04533575845678
"X.Intercept.",-1.35201002374535
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.425445462818383
"BusinessTravelTravel_Rarely",0
"YearsAtCompany",-0.0600695421437599
"X.Intercept.",-1.72436637664943
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.425338467807925
"BusinessTravelTravel_Rarely",0
"YearsSinceLastPromotion",-0.00475289426767928
"X.Intercept.",-1.28765670786136
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.426549401265693
"BusinessTravelTravel_Rarely",0
"YearsWithCurrManager",-0.120231956891786
"X.Intercept.",-1.26588621349543
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.420998707983762
"BusinessTravelTravel_Rarely",0
"EnvironmentSatisfaction",-0.175451834023694
"X.Intercept.",-1.35437358494591
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.445691806752023
"BusinessTravelTravel_Rarely",0
"JobSatisfaction",-0.143445569628855
"X.Intercept.",-1.27873907384138
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.43212078341137
"BusinessTravelTravel_Rarely",0
"WorkLifeBalance",-0.167850083318181
"X.Intercept.",-1.73476620951623
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.425405020439703
"BusinessTravelTravel_Rarely",0
"JobInvolvement",0
"X.Intercept.",-1.73476620951623
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.425405020439703
"BusinessTravelTravel_Rarely",0
"PerformanceRating",0
"X.Intercept.",-4.41763139255148
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.415791924934922
"BusinessTravelTravel_Rarely",0
"Avg_Daily_Hours",0.339280619138242
"X.Intercept.",-4.2680345261
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.417933633263582
"BusinessTravelTravel_Rarely",0
"Avg_Weekly_Hours",0.0704329980965148
"X.Intercept.",-1.62689201938636
"X.Intercept..1",0
"BusinessTravelTravel_Frequently",0.427361238087706
"BusinessTravelTravel_Rarely",0
"Days_off",-0.00857053680573639
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"DistanceFromHome",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"Education",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"EducationFieldLife.Sciences",0
"EducationFieldMarketing",0
"EducationFieldMedical",0
"EducationFieldOther",0
"EducationFieldTechnical.Degree",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"GenderMale",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"JobLevel",0
"X.Intercept.",-1.62419303567237
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.0106114519752309
"JobRoleHuman.Resources",0
"JobRoleLaboratory.Technician",0
"JobRoleManager",-0.0848008585654699
"JobRoleManufacturing.Director",-0.215382440913237
"JobRoleResearch.Director",0.104763351600117
"JobRoleResearch.Scientist",0
"JobRoleSales.Executive",0
"JobRoleSales.Representative",0
"X.Intercept.",-1.94689820071184
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"MaritalStatusMarried",0
"MaritalStatusSingle",0.791769772186992
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"MonthlyIncome",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"NumCompaniesWorked",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"PercentSalaryHike",0
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"StockOptionLevel",0
"X.Intercept.",-0.947826671611252
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.0465722208380754
"TotalWorkingYears",-0.0681791097770428
"X.Intercept.",-1.51446960225603
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.00870013224620579
"TrainingTimesLastYear",-0.0469835019370469
"X.Intercept.",-1.26158562623598
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",-0.0136834205829137
"YearsAtCompany",-0.0598689142091245
"X.Intercept.",-1.64739159976061
"X.Intercept..1",0
"DepartmentResearch...Development",0
"DepartmentSales",0
"YearsSinceLastPromotion",0
